nomeFantasia,previsao_risco
Alexandra Williams,0
Mr. Darren Arnold,1
Dr. David Rees,0
Sara Reid-Robson,0
Dr. Stanley Duncan,0
Gerard Gordon,0
Dr. Caroline Ali,0
Gregory Gould,0
Adrian Graham,1
Caroline Hale,1
Patricia Reynolds,0
Mohamed Welch,0
Toby Coleman,0
Lewis Harris,1
Terence Dean-Thompson,0
Gavin Coleman,0
Charles Hughes,0
Martin Andrews,1
Nicola Vaughan,0
Dr. Jeremy Thomas,0
Dr. Mary Stokes,1
Raymond Parker,1
Mr. Leon Smith,0
Gerard Marshall-Clarke,1
Katherine Clements,1
Mrs. Dawn Kay,0
Mr. Kenneth Brooks,1
Marcus Stewart,0
Mr. Terence Johnson,0
Aimee Marshall,1
Adrian West,1
Deborah Jones-Gibson,0
Sarah Singh,0
Mohamed Walker,0
Charlene Miller,1
Mrs. Sharon Fox,1
Brandon Lewis,0
Toby Taylor,0
Dr. Wayne Williams,0
Pamela Jackson,0
Paige Simpson,0
Diane Mellor,1
Leah Sheppard,0
William Miller,0
Dr. Luke Perkins,0
Connor Lloyd,1
Martin Horton,0
Abbie McLean-Fowler,1
Dr. Christopher Saunders,0
Philip Daniels,0
Dr. Christopher Saunders,0
Terence Nicholls,0
Gareth Hussain,0
Dr. Adrian Gilbert,0
Sara Reid-Robson,0
Robin North,0
Mr. Charles Thomas,1
Ms. Jane Spencer,0
Sandra Campbell,0
Angela Walker,0
Natalie Law-Allen,0
Bruce Harrison,0
Dr. Mohamed Phillips,1
Mrs. Kerry Hudson,0
Brett Marsh,0
Nathan Jones,1
Susan Payne,0
Julian Brown,0
Mrs. Anna Nolan,1
Stuart Parkinson,0
Toby Taylor,0
Gordon Taylor,0
Stuart Wade,1
Ms. Carolyn Scott,0
Joel Evans,1
Eileen Sharp,0
Tracy Collins,0
Tracy Collins,0
Mr. Ronald Yates,0
Joyce Graham,0
Yvonne Nixon-Carey,1
Aimee Crawford,0
Miss Katy Marsden,0
Denise Cook-Tyler,0
Brian Benson-Brown,1
Marcus Shepherd,0
Justin Quinn-Stanley,0
Edward Jones,0
Jade Thomas,0
Mrs. Shirley Davies,0
Dr. Stewart Waters,0
Brian Gregory,0
Frank Bennett,0
Mrs. Jenna Turner,1
Zoe Vaughan-Turner,1
Mrs. Brenda Howell,0
Ms. Julia Allen,0
Vincent Stephenson,0
Dr. Christian Smith,1
Jennifer Howard,0
Anna Perkins,0
Margaret Jones,0
Diana Wells-Robinson,0
Judith Roberts,1
Mr. Joseph Burrows,0
Neil Barnes,0
Dr. Hilary Abbott,0
Dr. Luke Marsh,1
Mr. Elliot Henry,0
Dr. Deborah Jackson,0
Terry Carter,0
Linda Cook,0
Miss Lorraine Alexander,0
Mr. Brandon Davies,0
Yvonne Gregory,1
Dr. Stacey Barnes,0
Denise Wilson,0
Ms. Leah Bennett,0
Elliott Thompson,0
Francesca Clements,0
Mr. Donald Griffiths,0
Nathan Jones,0
Mrs. Jasmine Lynch,1
Mrs. Valerie Edwards,0
Hazel Brown,0
Catherine John-Young,0
Chelsea Smith-Cox,0
Dr. Barry Carpenter,0
Andrea Bartlett-Wood,0
Deborah Scott-Spencer,0
Mathew Page,0
Victoria Marshall,0
Jean Potter-Johnson,0
Kathryn Power-Mason,0
Shirley Hanson-Harrison,0
Dr. Adam Davies,1
Leigh Griffiths-Watson,1
Dr. Lisa Myers,0
Mr. Kenneth Brooks,0
Nathan Jones,0
Dr. Christopher Saunders,0
Brandon Gibson,1
Diana Turner,0
Clifford Allan,0
Dr. Vanessa Patel,1
Mrs. Ellie Thornton,0
Miss Sharon Wood,0
Gail Ward,0
Charles Jones,0
Ms. Emma Wells,0
Samuel Evans-Williams,0
Wendy Glover,0
Janice Gill,0
Linda Bell,1
Brian Benson-Brown,0
Maria Dyer,0
Natasha Begum,0
Robert Hall,0
Mrs. Laura Marshall,0
Tracy Collins,0
Yvonne Gregory,1
Ms. Rosie Schofield,0
Linda Bradley,0
Dr. Karl Mitchell,0
Jennifer Freeman-Barrett,0
Antony Mitchell,0
Mr. John Simpson,1
Lynne Alexander-Hill,0
Dean Ashton-Williams,0
Lauren Allen-White,0
Leonard Gough-Vincent,1
Dr. Matthew Wright,0
Mr. Guy Lamb,0
Darren Hawkins,1
Geraldine Bibi,1
Charles Jones,1
Phillip Murphy,0
Adrian Brown,0
Mr. Arthur Burke,0
Mr. Harry Simpson,0
Sharon Leonard,0
Reece Rogers,1
Ricky Bartlett,0
Donna Lowe,0
Patrick Cross,1
Miss Alice Byrne,0
Nigel Pearson,1
Joyce Miller,0
Joshua Jones,0
Dr. Malcolm Elliott,1
Gregory Taylor,1
Sally Roberts,1
Chelsea Smith-Cox,0
Dr. Andrew Davies,0
Julia Howard,0
Alex Lamb,1
Alison Bibi-Singh,0
Anne Payne,0
Dale Knight,0
Ms. Marilyn Macdonald,0
Abdul Hayes,1
Patricia Newton,1
Dr. Reece Smith,0
Andrew Lane-Barry,0
Julie Welch,1
Abdul Middleton,0
Samuel Evans-Williams,0
Jade Thomas,0
Ms. Jacqueline Blake,0
Ms. Jade Lewis,0
Miss Alexandra Graham,0
Aimee Edwards-Miles,0
Miss Sharon Peters,0
Ellie Davies-Skinner,0
Kyle Patel,1
Dr. Bruce Ellis,0
Pamela Wright,1
Mr. Owen Turner,0
Mr. Iain Sykes,0
Gail Ahmed,1
Mr. Elliot Henry,0
Jonathan Williams,1
Gemma Young-Phillips,1
Mrs. Beverley Khan,0
Angela Burton-Taylor,1
Jamie Edwards,0
Claire Watson-Hall,0
Leanne Harris,0
Gerald Carter,0
Charlie Hayes-Hancock,0
Michelle Perry,0
Gemma Patel-Clark,0
Mrs. Margaret Nelson,0
Mr. Conor Jones,1
Mr. Leon Wilkinson,1
Dr. Pamela Chamberlain,0
Lydia Morrison,1
Dr. Judith Woods,1
Dr. Judith Woods,1
Mr. Conor Jones,1
Dr. Judith Woods,1
Dr. Judith Woods,1
Colin Evans,0
Leigh Ali-Begum,0
Matthew Carter-Smith,0
Christine Palmer-Moss,1
Eleanor Thornton,0
Natasha Holland,0
Justin Morris-Collins,1
Linda Baxter,0
Mr. Wayne Riley,0
Lewis Atkinson,1
Dominic Stephenson-Potter,0
Frances Harris,0
